Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power,Power wear,Temperature difference,Temperature power,Machine failure,Type_L,Type_M
298.9,309.3,1632.0,32.5,55.0,53040.0,2917200.0,10.400000000000034,0.00019607843137254966,0,False,True
298.9,309.3,1375.0,42.7,58.0,58712.50000000001,3405325.0000000005,10.400000000000034,0.00017713434106876786,0,False,False
298.8,309.3,1450.0,44.8,63.0,64959.99999999999,4092479.9999999995,10.5,0.00016163793103448278,0,True,False
298.9,309.3,1581.0,30.7,65.0,48536.7,3154885.5,10.400000000000034,0.00021427085071708697,0,False,True
299.0,309.4,1758.0,25.7,68.0,45180.6,3072280.8,10.399999999999977,0.0002301872927761025,0,True,False
299.0,309.4,1561.0,37.3,70.0,58225.299999999996,4075770.9999999995,10.399999999999977,0.00017861651206606025,0,False,True
299.0,309.5,1861.0,23.3,73.0,43361.3,3165374.9000000004,10.5,0.0002421514115121087,0,True,False
299.1,309.5,1512.0,39.0,75.0,58968.0,4422600.0,10.399999999999977,0.0001763668430335093,0,True,False
299.1,309.4,1811.0,24.6,77.0,44550.600000000006,3430396.2000000007,10.299999999999955,0.00023119778409269354,0,False,False
299.1,309.4,1439.0,44.2,82.0,63603.8,5215511.600000001,10.299999999999955,0.00016194000987362317,0,True,False
299.0,309.4,1693.0,30.1,84.0,50959.3,4280581.2,10.399999999999977,0.00020408443601069827,0,True,False
299.1,309.5,1339.0,48.2,86.0,64539.8,5550422.8,10.399999999999977,0.00016114087741207715,0,False,True
299.0,309.4,1798.0,25.5,89.0,45849.0,4080561.0,10.399999999999977,0.00022683155575912184,0,True,False
299.0,309.4,1419.0,48.3,91.0,68537.7,6236930.7,10.399999999999977,0.00015174130442077832,0,True,False
298.9,309.3,1665.0,32.5,93.0,54112.5,5032462.5,10.400000000000034,0.00019219219219219282,0,True,False
298.8,309.1,1559.0,34.7,95.0,54097.3,5139243.5,10.300000000000011,0.00019039767234224278,0,False,True
298.8,309.2,1452.0,48.6,98.0,70567.2,6915585.6,10.399999999999977,0.00014737725175435583,0,False,True
298.9,309.2,1581.0,36.7,101.0,58022.700000000004,5860292.7,10.300000000000011,0.00017751673052098595,0,False,True
298.8,309.1,1439.0,39.2,104.0,56408.8,5866515.2,10.300000000000011,0.00018259562337791287,0,True,False
298.9,309.2,1379.0,50.7,106.0,69915.3,7411021.800000001,10.300000000000011,0.00014732111569284564,0,False,False
298.8,309.1,1350.0,52.5,111.0,70875.0,7867125.0,10.300000000000011,0.00014532627865961216,0,True,False
298.8,309.1,1362.0,45.4,113.0,61834.799999999996,6987332.399999999,10.300000000000011,0.00016657286835244898,0,True,False
298.8,309.1,1368.0,50.8,115.0,69494.4,7991855.999999999,10.300000000000011,0.00014821338122208427,0,True,False
298.8,309.1,1368.0,49.1,117.0,67168.8,7858749.600000001,10.300000000000011,0.0001533450054191829,0,False,True
298.8,309.2,1372.0,48.5,120.0,66542.0,7985040.0,10.399999999999977,0.00015629226653842652,0,False,False
298.8,309.1,1472.0,47.5,125.0,69920.0,8740000.0,10.300000000000011,0.00014731121281464548,0,False,True
298.8,309.1,1489.0,49.1,128.0,73109.90000000001,9358067.200000001,10.300000000000011,0.00014088379275583758,0,True,False
298.7,309.0,1843.0,25.8,130.0,47549.4,6181422.0,10.300000000000011,0.00021661682376644103,0,False,True
298.8,309.1,1418.0,46.3,133.0,65653.4,8731902.2,10.300000000000011,0.00015688448732281972,0,True,False
298.8,309.2,1425.0,53.9,135.0,76807.5,10369012.5,10.399999999999977,0.00013540344367412007,0,False,False
298.9,309.2,1412.0,44.1,140.0,62269.200000000004,8717688.0,10.300000000000011,0.0001654108291097366,0,False,True
298.9,309.1,2861.0,4.6,143.0,13160.599999999999,1881965.7999999998,10.200000000000045,0.000775040651642026,3,True,False
298.9,309.1,1383.0,54.9,145.0,75926.7,11009371.5,10.200000000000045,0.0001343400938009955,0,True,False
298.8,309.0,1497.0,43.8,147.0,65568.59999999999,9638584.2,10.199999999999989,0.00015556226608468061,0,False,False
298.7,309.0,1565.0,35.1,152.0,54931.5,8349588.0,10.300000000000011,0.00018750625779379794,0,True,False
298.7,309.0,1691.0,30.1,154.0,50899.100000000006,7838461.400000001,10.300000000000011,0.0002023611419455356,0,True,False
298.8,309.1,1512.0,40.7,156.0,61538.4,9599990.4,10.300000000000011,0.00016737516737516756,0,True,False
298.8,309.1,1477.0,42.4,158.0,62624.799999999996,9894718.399999999,10.300000000000011,0.0001644715831427807,0,True,False
298.8,309.1,1513.0,40.3,160.0,60973.899999999994,9755824.0,10.300000000000011,0.00016892473664961586,0,True,False
298.8,309.0,1661.0,29.5,162.0,48999.5,7937919.0,10.199999999999989,0.0002081653894427492,0,False,True
298.8,309.1,1378.0,54.4,165.0,74963.2,12368928.0,10.300000000000011,0.00013740075130197233,0,True,False
298.8,309.1,1393.0,52.6,167.0,73271.8,12236390.6,10.300000000000011,0.00014057249856015564,0,True,False
298.8,309.0,1592.0,38.2,169.0,60814.4,10277633.6,10.199999999999989,0.00016772343392354422,0,False,True
298.8,309.0,1829.0,22.9,172.0,41884.1,7204065.2,10.199999999999989,0.00024352916739287675,0,True,False
298.9,309.0,1812.0,25.9,174.0,46930.799999999996,8165959.199999999,10.100000000000023,0.00021521048011114287,0,False,True
299.0,309.1,1523.0,38.6,177.0,58787.8,10405440.6,10.100000000000023,0.00017180435396459847,0,True,False
299.0,309.1,1394.0,45.1,179.0,62869.4,11253622.6,10.100000000000023,0.00016065049133600801,0,True,False
298.9,308.9,1679.0,28.7,181.0,48187.299999999996,8721901.299999999,10.0,0.0002075235591120482,0,False,True
298.8,308.9,1466.0,44.1,184.0,64650.6,11895710.4,10.099999999999966,0.00015622438152159402,0,False,False
298.8,308.9,1527.0,32.4,189.0,49474.799999999996,9350737.2,10.099999999999966,0.00020414433206399958,0,True,False
298.9,309.0,1410.0,65.7,191.0,92637.0,17693667.0,10.100000000000023,0.00010902771031013551,4,True,False
298.9,309.0,1924.0,22.6,193.0,43482.4,8392103.200000001,10.100000000000023,0.0002322778871451443,0,False,True
298.9,309.1,1452.0,45.5,196.0,66066.0,12948936.0,10.200000000000045,0.00015439106348197327,0,True,False
298.9,309.1,1369.0,44.4,198.0,60783.6,12035152.799999999,10.200000000000045,0.00016780842200856885,0,True,False
299.0,309.1,1592.0,35.0,200.0,55720.0,11144000.0,10.100000000000023,0.00018126346015793292,0,True,False
298.9,309.0,1601.0,32.3,202.0,51712.299999999996,10445884.6,10.100000000000023,0.0001953113669281781,0,True,False
298.8,308.9,1379.0,46.7,204.0,64399.3,13137457.200000001,10.099999999999966,0.00015683400285406774,0,True,False
298.8,308.9,1461.0,47.9,206.0,69981.9,14416271.399999999,10.099999999999966,0.00014432303209829922,0,True,False
298.8,308.9,1455.0,41.3,208.0,60091.49999999999,12499031.999999998,10.099999999999966,0.00016807701588410952,1,True,False
298.8,308.9,1398.0,51.5,0.0,71997.0,0.0,10.099999999999966,0.00014028362292873266,0,True,False
298.8,308.9,1402.0,37.9,2.0,53135.799999999996,106271.59999999999,10.099999999999966,0.0001900790051151948,0,True,False
298.8,308.8,1445.0,49.9,4.0,72105.5,288422.0,10.0,0.00013868567584996984,0,False,False
298.9,308.9,1450.0,47.5,9.0,68875.0,619875.0,10.0,0.00014519056261343014,0,True,False
298.9,308.9,1453.0,40.8,11.0,59282.399999999994,652106.3999999999,10.0,0.000168684128847685,0,True,False
299.0,309.0,1469.0,40.1,13.0,58906.9,765789.7000000001,10.0,0.00016975940000237664,0,True,False
298.9,308.9,1422.0,47.6,15.0,67687.2,1015308.0,10.0,0.00014773842026261983,0,True,False
299.0,309.0,1804.0,26.8,17.0,48347.200000000004,821902.4,10.0,0.00020683721084157922,0,False,True
299.0,309.0,1436.0,43.9,20.0,63040.4,1260808.0,10.0,0.00015862843509876207,0,False,False
299.0,309.0,1544.0,31.8,25.0,49099.200000000004,1227480.0,10.0,0.00020366930622087528,0,True,False
299.0,309.0,1419.0,45.2,27.0,64138.8,1731747.6,10.0,0.0001559118661403082,0,False,True
298.9,308.9,1487.0,39.5,30.0,58736.5,1762095.0,10.0,0.00017025188766780453,0,False,True
298.9,308.9,1753.0,25.8,33.0,45227.4,1492504.2,10.0,0.00022110490543343194,0,True,False
298.9,308.9,1830.0,24.9,35.0,45567.0,1594845.0,10.0,0.0002194570632255799,0,True,False
298.9,308.9,1727.0,27.1,37.0,46801.700000000004,1731662.9000000001,10.0,0.0002136674522506661,0,False,True
299.1,309.0,1450.0,43.0,40.0,62350.0,2494000.0,9.899999999999977,0.0001587810745789892,0,True,False
299.0,308.9,1622.0,31.9,42.0,51741.799999999996,2173155.5999999996,9.899999999999977,0.00019133466558952293,0,True,False
299.0,309.0,1351.0,52.2,44.0,70522.2,3102976.8,10.0,0.00014179931993046161,0,False,True
299.0,309.0,1575.0,35.3,47.0,55597.49999999999,2613082.4999999995,10.0,0.00017986420252709206,0,False,True
298.9,308.9,1750.0,29.9,50.0,52325.0,2616250.0,10.0,0.00019111323459149545,0,False,True
298.9,308.8,1529.0,32.7,53.0,49998.3,2649909.9000000004,9.900000000000034,0.00019800673222889644,0,True,False
298.8,308.8,1523.0,44.4,55.0,67621.2,3719166.0,10.0,0.00014788261669417284,0,True,False
298.8,308.9,1852.0,25.0,57.0,46300.0,2639100.0,10.099999999999966,0.00021814254859611157,0,True,False
298.8,308.8,1991.0,20.7,59.0,41213.7,2431608.3,10.0,0.00024263776365625995,0,True,False
298.8,308.8,1555.0,40.6,61.0,63133.0,3851113.0,10.0,0.000158395767665088,0,True,False
298.8,308.8,1441.0,40.5,63.0,58360.5,3676711.5,10.0,0.00017134877185767772,0,False,True
298.8,308.7,1450.0,43.4,66.0,62930.0,4153380.0,9.899999999999977,0.00015731765453678656,0,True,False
298.8,308.7,1591.0,31.1,68.0,49480.100000000006,3364646.8000000003,9.899999999999977,0.00020008043637745226,0,True,False
298.8,308.7,1445.0,48.5,70.0,70082.5,4905775.0,9.899999999999977,0.0001412620839724607,0,True,False
298.8,308.8,1497.0,46.8,72.0,70059.59999999999,5044291.199999999,10.0,0.00014273561367749747,0,False,True
298.9,308.8,1621.0,32.7,75.0,53006.700000000004,3975502.5000000005,9.900000000000034,0.0001867688424293539,0,False,False
298.9,308.7,1572.0,34.1,80.0,53605.200000000004,4288416.0,9.800000000000011,0.00018281808481266761,0,True,False
298.8,308.6,1872.0,22.5,82.0,42120.0,3453840.0,9.800000000000011,0.0002326685660018996,0,True,False
298.7,308.6,1499.0,43.5,84.0,65206.5,5477346.0,9.900000000000034,0.00015182535483425783,0,False,False
298.8,308.7,1498.0,39.5,89.0,59171.0,5266219.0,9.899999999999977,0.00016731168984806708,0,False,True
298.8,308.6,1486.0,41.9,92.0,62263.4,5728232.8,9.800000000000011,0.00015739583768313345,0,False,True
298.8,308.6,1680.0,29.4,95.0,49392.0,4692240.0,9.800000000000011,0.00019841269841269863,0,True,False
298.8,308.6,1431.0,45.7,97.0,65396.700000000004,6343479.9,9.800000000000011,0.00014985465627470514,0,True,False
298.9,308.7,1564.0,34.1,99.0,53332.4,5279907.600000001,9.800000000000011,0.00018375321568127464,0,True,False
298.8,308.6,1599.0,33.0,101.0,52767.0,5329467.0,9.800000000000011,0.00018572213694164935,0,True,False
298.8,308.6,1707.0,28.1,103.0,47966.700000000004,4940570.100000001,9.800000000000011,0.0002043084056230679,0,False,True
298.7,308.5,1467.0,40.7,106.0,59706.9,6328931.4,9.800000000000011,0.00016413513346028702,0,True,False
298.9,308.7,1433.0,44.7,108.0,64055.100000000006,6917950.800000001,9.800000000000011,0.00015299328234598042,0,True,False
298.9,308.7,1558.0,41.2,110.0,64189.600000000006,7060856.000000001,9.800000000000011,0.00015267270710520102,0,True,False
299.0,308.8,1310.0,50.7,112.0,66417.0,7438704.0,9.800000000000011,0.0001475525844286856,0,True,False
298.9,308.7,1546.0,43.4,114.0,67096.4,7648989.6,9.800000000000011,0.00014605850686475,0,True,False
298.9,308.7,1727.0,29.4,116.0,50773.799999999996,5889760.8,9.800000000000011,0.00019301293186643528,0,True,False
298.9,308.6,1560.0,32.2,118.0,50232.00000000001,5927376.000000001,9.700000000000045,0.00019310399745182442,0,True,False
299.0,308.6,1329.0,60.5,120.0,80404.5,9648540.0,9.600000000000023,0.00011939630244575891,0,True,False
298.9,308.6,1413.0,46.5,122.0,65704.5,8015949.0,9.700000000000045,0.0001476306797860123,0,True,False
299.0,308.6,1587.0,38.6,124.0,61258.200000000004,7596016.800000001,9.600000000000023,0.00015671371342938615,0,True,False
298.9,308.5,1559.0,34.3,126.0,53473.7,6737686.199999999,9.600000000000023,0.00017952750604502816,0,True,False
298.8,308.4,1473.0,41.1,128.0,60540.3,7749158.4,9.599999999999966,0.00015857205861219658,0,True,False
298.8,308.4,1737.0,27.7,130.0,48114.9,6254937.0,9.599999999999966,0.00019952239327110656,0,True,False
298.7,308.4,1441.0,43.2,132.0,62251.200000000004,8217158.4,9.699999999999989,0.00015582028940807548,0,False,True
298.7,308.4,1430.0,49.6,135.0,70928.0,9575280.0,9.699999999999989,0.00013675840288743498,0,False,True
298.8,308.4,1369.0,53.0,138.0,72557.0,10012866.0,9.599999999999966,0.0001323097702495964,0,True,False
298.8,308.5,1711.0,28.5,140.0,48763.5,6826890.0,9.699999999999989,0.00019891927363704386,0,False,True
298.7,308.5,1420.0,45.7,143.0,64894.00000000001,9279842.000000002,9.800000000000011,0.0001510155022035937,0,False,False
298.7,308.6,1297.0,55.3,148.0,71724.09999999999,10615166.799999999,9.900000000000034,0.00013802891914990967,0,True,False
298.8,308.6,1449.0,49.4,150.0,71580.59999999999,10737089.999999998,9.800000000000011,0.00013690860372782588,0,False,False
298.8,308.6,1268.0,55.8,155.0,70754.4,10966932.0,9.800000000000011,0.0001385072871793134,0,True,False
298.8,308.6,1511.0,36.1,157.0,54547.1,8563894.7,9.800000000000011,0.00017966124688571916,0,True,False
298.7,308.5,1544.0,35.2,159.0,54348.8,8641459.200000001,9.800000000000011,0.00018031676872350466,0,True,False
298.6,308.4,1778.0,28.2,161.0,50139.6,8072475.6,9.799999999999955,0.0001954542916178022,0,False,True
298.6,308.4,1407.0,50.5,164.0,71053.5,11652774.0,9.799999999999955,0.0001379242401852119,0,False,False
298.6,308.4,1391.0,42.4,169.0,58978.4,9967349.6,9.799999999999955,0.00016616252729812872,0,False,True
298.5,308.4,1513.0,33.6,172.0,50836.8,8743929.6,9.899999999999977,0.0001947408176753843,0,True,False
298.5,308.4,1612.0,36.1,174.0,58193.200000000004,10125616.8,9.899999999999977,0.0001701229696940532,0,False,False
298.4,308.4,1515.0,40.1,179.0,60751.5,10874518.5,10.0,0.00016460498917722196,0,True,False
298.3,308.3,1379.0,48.0,181.0,66192.0,11980752.0,10.0,0.00015107565868987188,0,False,True
298.4,308.3,1473.0,39.9,184.0,58772.7,10814176.799999999,9.900000000000034,0.0001684455538030418,0,True,False
298.4,308.3,1422.0,42.7,186.0,60719.4,11293808.4,9.900000000000034,0.0001630450893783541,0,True,False
298.4,308.2,1463.0,37.6,188.0,55008.8,10341654.4,9.800000000000011,0.0001781533136516341,0,False,True
298.4,308.2,1584.0,41.0,191.0,64944.0,12404304.0,9.800000000000011,0.00015089923626509009,0,False,True
298.4,308.2,1850.0,27.0,194.0,49950.0,9690300.0,9.800000000000011,0.00019619619619619643,0,True,False
298.4,308.2,1528.0,36.2,196.0,55313.600000000006,10841465.600000001,9.800000000000011,0.00017717161782997327,0,True,False
298.4,308.2,1987.0,19.8,198.0,39342.6,7789834.8,9.800000000000011,0.0002490938575488151,0,False,False
298.4,308.1,1495.0,46.0,203.0,68770.0,13960310.0,9.700000000000045,0.00014104987639959352,0,False,True
298.4,308.2,1478.0,43.5,206.0,64293.0,13244358.0,9.800000000000011,0.0001524271693652499,0,False,False
298.4,308.2,1499.0,40.0,211.0,59960.0,12651560.0,9.800000000000011,0.00016344229486324235,0,False,True
298.4,308.2,1471.0,47.0,214.0,69137.0,14795318.0,9.800000000000011,0.00014174754473002894,0,True,False
298.4,308.2,1282.0,60.7,216.0,77817.40000000001,16808558.400000002,9.800000000000011,0.00012593584468255186,4,True,False
298.3,308.1,1412.0,52.3,218.0,73847.59999999999,16098776.799999999,9.800000000000011,0.0001327057345126993,4,True,False
298.3,308.1,1586.0,35.5,0.0,56303.0,0.0,9.800000000000011,0.00017405822069871963,0,True,False
298.4,308.2,1468.0,43.8,2.0,64298.399999999994,128596.79999999999,9.800000000000011,0.00015241436800915748,0,False,True
298.5,308.3,1440.0,43.6,5.0,62784.0,313920.0,9.800000000000011,0.00015609072375127438,0,False,True
298.5,308.4,1733.0,26.0,8.0,45058.0,360464.0,9.899999999999977,0.00021971680944560295,0,True,False
298.4,308.2,1612.0,32.6,10.0,52551.200000000004,525512.0,9.800000000000011,0.00018648479958592782,0,False,False
298.4,308.3,1458.0,42.9,15.0,62548.2,938223.0,9.900000000000034,0.00015827793605571437,0,False,False
298.4,308.3,1433.0,62.3,20.0,89275.9,1785518.0,9.900000000000034,0.00011089218926944489,3,True,False
298.4,308.3,1318.0,59.1,22.0,77893.8,1713663.6,9.900000000000034,0.00012709612318310357,0,True,False
298.4,308.2,1610.0,35.0,24.0,56350.0,1352400.0,9.800000000000011,0.00017391304347826107,0,False,True
298.2,308.1,1462.0,50.8,27.0,74269.59999999999,2005279.1999999997,9.900000000000034,0.00013329814621325598,0,True,False
298.1,308.0,1924.0,20.8,29.0,40019.200000000004,1160556.8,9.899999999999977,0.000247381256996641,0,False,True
298.2,308.0,1591.0,33.7,32.0,53616.700000000004,1715734.4000000001,9.800000000000011,0.00018277887300039,0,False,True
298.2,308.1,1306.0,58.3,35.0,76139.8,2664893.0,9.900000000000034,0.00013002398220116198,0,True,False
298.2,308.1,1382.0,43.5,37.0,60117.0,2224329.0,9.900000000000034,0.00016467887619142727,0,True,False
298.2,308.1,1618.0,34.7,39.0,56144.600000000006,2189639.4000000004,9.900000000000034,0.0001763304039925484,0,True,False
298.2,308.2,1988.0,21.4,41.0,42543.2,1744271.2,10.0,0.00023505519095883714,0,True,False
298.2,308.2,1436.0,50.2,43.0,72087.2,3099749.6,10.0,0.00013872088248676604,0,True,False
298.2,308.3,1304.0,49.8,45.0,64939.2,2922264.0,10.100000000000023,0.00015553009584349704,0,True,False
298.2,308.3,1475.0,49.9,47.0,73602.5,3459317.5,10.100000000000023,0.0001372235997418569,0,True,False
298.2,308.3,1824.0,24.2,49.0,44140.799999999996,2162899.1999999997,10.100000000000023,0.00022881325213861152,0,False,False
298.1,308.2,1342.0,48.1,54.0,64550.200000000004,3485710.8000000003,10.099999999999966,0.00015646736958212313,0,False,True
298.1,308.2,1485.0,40.7,57.0,60439.50000000001,3445051.5000000005,10.099999999999966,0.00016710925801834833,0,True,False
298.2,308.2,1667.0,30.6,59.0,51010.200000000004,3009601.8000000003,10.0,0.00019603922352784344,0,True,False
298.2,308.2,1446.0,38.2,61.0,55237.200000000004,3369469.2,10.0,0.00018103741681330695,0,True,False
298.1,308.3,1301.0,56.0,63.0,72856.0,4589928.0,10.199999999999989,0.00014000219611288005,0,True,False
298.2,308.4,1379.0,43.1,65.0,59434.9,3863268.5,10.199999999999989,0.00017161633989457354,0,True,False
298.3,308.5,1606.0,33.6,67.0,53961.600000000006,3615427.2,10.199999999999989,0.00018902330546166139,0,True,False
298.3,308.4,1539.0,43.4,69.0,66792.59999999999,4608689.399999999,10.099999999999966,0.00015121435608136182,0,False,True
298.2,308.4,1477.0,49.9,72.0,73702.3,5306565.600000001,10.199999999999989,0.00013839459555536242,0,True,False
298.2,308.4,1666.0,34.6,74.0,57643.600000000006,4265626.4,10.199999999999989,0.00017694939247375229,0,True,False
298.2,308.4,1398.0,51.8,76.0,72416.4,5503646.399999999,10.199999999999989,0.00014085207218254413,0,False,False
298.2,308.4,1678.0,34.6,81.0,58058.8,4702762.8,10.199999999999989,0.00017568396177668137,0,False,False
298.2,308.5,2678.0,10.7,86.0,28654.6,2464295.6,10.300000000000011,0.00035945363048166826,3,False,True
298.3,308.5,1453.0,42.9,89.0,62333.7,5547699.3,10.199999999999989,0.00016363540107518066,0,True,False
298.3,308.6,1432.0,49.5,91.0,70884.0,6450444.0,10.300000000000011,0.00014530782687207283,0,False,False
298.4,308.6,1527.0,40.9,96.0,62454.299999999996,5995612.8,10.200000000000045,0.00016331941915929,0,False,True
298.4,308.7,1588.0,35.0,99.0,55580.0,5502420.0,10.300000000000011,0.00018531845987765404,0,True,False
298.4,308.6,1433.0,47.1,101.0,67494.3,6816924.300000001,10.200000000000045,0.00015112387268258274,0,True,False
298.4,308.6,1609.0,35.0,103.0,56315.0,5800445.0,10.200000000000045,0.00018112403444908186,0,True,False
298.3,308.5,1575.0,41.2,105.0,64890.00000000001,6813450.000000001,10.199999999999989,0.00015718908922792397,0,True,False
298.4,308.5,1636.0,35.7,107.0,58405.200000000004,6249356.4,10.100000000000023,0.00017292980761986985,0,False,True
298.4,308.5,1490.0,37.9,110.0,56471.0,6211810.0,10.100000000000023,0.0001788528625312111,0,True,False
298.4,308.5,1741.0,32.8,112.0,57104.799999999996,6395737.6,10.100000000000023,0.00017686779395077162,0,True,False
298.5,308.6,1344.0,53.0,114.0,71232.0,8120448.0,10.100000000000023,0.00014179020664869754,0,False,True
298.5,308.7,1609.0,35.3,117.0,56797.7,6645330.899999999,10.199999999999989,0.00017958473670588756,0,True,False
298.4,308.7,1421.0,60.7,119.0,86254.7,10264309.299999999,10.300000000000011,0.0001194137826692344,3,False,True
298.4,308.6,1591.0,36.7,122.0,58389.700000000004,7123543.4,10.200000000000045,0.00017468834400587852,0,True,False
298.4,308.6,1477.0,44.0,124.0,64988.0,8058512.0,10.200000000000045,0.00015695205268665053,0,True,False
298.4,308.7,1523.0,36.1,126.0,54980.3,6927517.800000001,10.300000000000011,0.00018733982899329417,0,True,False
298.5,308.7,1575.0,33.9,128.0,53392.5,6834240.0,10.199999999999989,0.00019103806714426162,0,True,False
298.4,308.7,1344.0,52.9,130.0,71097.59999999999,9242687.999999998,10.300000000000011,0.00014487127554235323,0,False,False
298.4,308.7,1386.0,44.9,135.0,62231.4,8401239.0,10.300000000000011,0.00016551130136876257,0,True,False
298.3,308.6,1589.0,37.1,137.0,58951.9,8076410.3,10.300000000000011,0.00017471871135620753,0,False,True
298.3,308.6,1548.0,40.3,140.0,62384.399999999994,8733816.0,10.300000000000011,0.00016510537890882996,0,True,False
298.3,308.6,1499.0,38.3,142.0,57411.7,8152461.399999999,10.300000000000011,0.00017940593990423576,0,True,False
298.3,308.5,1664.0,31.6,144.0,52582.4,7571865.600000001,10.199999999999989,0.00019398125608568624,0,True,False
298.3,308.6,1447.0,38.1,146.0,55130.700000000004,8049082.2,10.300000000000011,0.00018682875421498386,0,True,False
298.3,308.5,1434.0,46.2,148.0,66250.8,9805118.4,10.199999999999989,0.00015396040500642992,0,False,True
298.3,308.5,1416.0,52.7,151.0,74623.2,11268103.2,10.199999999999989,0.00013668671405139406,0,True,False
298.4,308.5,1827.0,24.3,153.0,44396.1,6792603.3,10.100000000000023,0.00022749746036250984,0,False,False
298.4,308.6,1304.0,45.0,158.0,58680.0,9271440.0,10.200000000000045,0.0001738241308793464,0,True,False
298.4,308.6,1569.0,34.4,160.0,53973.6,8635776.0,10.200000000000045,0.00018898127973676103,0,True,False
298.3,308.6,1584.0,29.3,162.0,46411.200000000004,7518614.4,10.300000000000011,0.00022192918950598154,0,True,False
298.3,308.5,1362.0,53.8,164.0,73275.59999999999,12017198.399999999,10.199999999999989,0.00013920049784648628,0,True,False
298.3,308.4,1329.0,49.2,166.0,65386.8,10854208.8,10.099999999999966,0.00015446542727278235,0,True,False
298.3,308.5,1539.0,36.1,168.0,55557.9,9333727.200000001,10.199999999999989,0.0001835922524069482,0,True,False
298.3,308.5,1629.0,37.1,170.0,60435.9,10274103.0,10.199999999999989,0.00016877385792219506,0,False,True
298.3,308.5,1538.0,32.2,173.0,49523.600000000006,8567582.8,10.199999999999989,0.00020596240984096446,0,True,False
298.3,308.6,1570.0,34.8,175.0,54635.99999999999,9561299.999999998,10.300000000000011,0.0001885203894867855,0,True,False
298.3,308.4,1408.0,43.1,177.0,60684.8,10741209.6,10.099999999999966,0.00016643376924699372,0,True,False
298.2,308.4,1424.0,47.6,179.0,67782.40000000001,12133049.600000001,10.199999999999989,0.00015048154093097894,0,True,False
298.2,308.4,1512.0,34.9,181.0,52768.799999999996,9551152.799999999,10.199999999999989,0.00019329603856824468,0,True,False
298.2,308.4,1478.0,42.9,183.0,63406.2,11603334.6,10.199999999999989,0.00016086754923020128,0,True,False
298.1,308.3,1680.0,33.7,185.0,56616.00000000001,10473960.000000002,10.199999999999989,0.00018016108520559537,0,False,True
298.1,308.3,1495.0,38.7,188.0,57856.50000000001,10877022.000000002,10.199999999999989,0.0001762982551657979,0,True,False
298.0,308.1,1552.0,36.6,190.0,56803.200000000004,10792608.0,10.100000000000023,0.00017780688411920493,0,False,True
297.9,308.1,1393.0,50.3,193.0,70067.9,13523104.7,10.200000000000045,0.00014557307982685433,0,True,False
298.0,308.2,1611.0,30.6,195.0,49296.600000000006,9612837.000000002,10.199999999999989,0.00020691082143596085,0,True,False
298.0,308.1,1339.0,51.6,197.0,69092.40000000001,13611202.800000003,10.100000000000023,0.00014618105609300042,0,False,True
298.0,308.1,1777.0,24.3,200.0,43181.1,8636220.0,10.100000000000023,0.00023389862694558552,0,True,False
